url,title,category1
https://medium.com/data-science-in-your-pocket/what-are-evolutionary-algorithms-fb642f72db34,What are Evolutionary algorithms?,Misc
https://medium.com/data-science-in-your-pocket/training-openai-gym-environments-using-reinforce-algorithm-in-reinforcement-learning-54908ebd66ad,Training OpenAI gym environments using REINFORCE algorithm in reinforcement learning,Reinforcement Learning
https://medium.com/data-science-in-your-pocket/contextual-bandits-in-reinforcement-learning-explained-with-example-and-codes-3c707142437b,Contextual Bandits in reinforcement learning explained with example and codes,Reinforcement Learning
https://medium.com/data-science-in-your-pocket/calculating-non-linear-correlation-using-distance-correlation-with-examples-83f6a8cf2473,Calculating Non-Linear correlation using Distance correlation with examples,Stats
https://medium.com/data-science-in-your-pocket/conditional-gans-cgans-with-codes-explained-f2c7993d2fb2,Conditional GANs (CGANs) with codes explained,Generative AI
https://medium.com/data-science-in-your-pocket/how-does-dall-e-the-text-to-image-generator-work-c2d9f4a0f26c,"How does DALL-E, the text-to-image generator work?",Generative AI
https://medium.com/data-science-in-your-pocket/automl-for-multi-label-classification-using-ludwig-c7d0b4631ed8,AutoML for Multi-Label Classification using Ludwig,AutoML
https://medium.com/data-science-in-your-pocket/music-generation-using-musictransformer-with-codes-c7be89ba85b1,Music Generation using MusicTransformer with codes,Generative AI
https://medium.com/data-science-in-your-pocket/generative-modeling-using-pixelcnn-with-codes-explained-387c95405651,Generative modeling using PixelCNN with codes explained,Generative AI
https://medium.com/data-science-in-your-pocket/why-should-you-blog-as-a-data-scientist-my-experience-after-writing-100-blogs-76ecbac8b9ea,Why should you blog as a Data Scientist? My experience after writing 100 blogs,Misc
https://medium.com/data-science-in-your-pocket/handling-high-cardinality-out-of-vocabulary-and-cold-start-in-categorical-data-db93f6d09ec3,"Handling High Cardinality, Out Of Vocabulary and Cold Start in categorical data",Misc
https://medium.com/data-science-in-your-pocket/different-methods-to-scale-numerical-features-in-datasets-with-examples-and-codes-93f5d7e60877,Methods to scale numerical features,Misc
https://medium.com/data-science-in-your-pocket/introduction-to-machine-learning-designs-patterns-594acf390146,Introduction to Machine Learning Design Patterns,Misc
https://medium.com/data-science-in-your-pocket/one-shot-learning-using-memory-augmented-neural-networks-manns-870004064294,One-Shot Learning using Memory Augmented Neural Networks (MANNs),One Shot Learning
https://medium.com/data-science-in-your-pocket/neural-turing-machines-explained-9acdbe8897de,Neural Turing Machines Explained,One Shot Learning
https://medium.com/data-science-in-your-pocket/understanding-siamese-network-with-example-and-codes-e7518fe02612,Understanding Siamese Network with example and codes,One Shot Learning
https://medium.com/data-science-in-your-pocket/starting-off-with-one-shot-learning-609c1ac6ec9b,Starting off with One-Shot Learning,One Shot Learning
https://medium.com/data-science-in-your-pocket/interpreting-cnns-using-lime-5a0bfb225708,Interpreting CNNs using LIME,XAI
https://medium.com/data-science-in-your-pocket/shap-for-interpreting-ml-models-explained-with-codes-e94baf5a204e,SHAP for interpreting ML models explained with codes,XAI
