,playlist,name
0,PLnH2pfPCPZsJsKhGhUA9qtuaI09y0cYdM,SQL
1,PLnH2pfPCPZsIpNtTIwKQZeDerJEz2ccEV,Reinforcement Learning
2,PLnH2pfPCPZsLgu2fSsPuChvrQL8Ht5a84,Probability & Stats
3,PLnH2pfPCPZsIINZt1rvYFROSefUJ7UTKy,NLP
4,PLnH2pfPCPZsK-u96fUruTPVSblABeoB9d,Time Series
5,PLnH2pfPCPZsJay2ZSY42c5-iZYuquqOjI,Graph Analytics
6,PLnH2pfPCPZsIK7byg63GE06eYq8G9KEEK,ChatGPT
7,PLnH2pfPCPZsJDQ7ldjy5sVDGqmJCwMGc2,Python Demo
8,PLnH2pfPCPZsLNFKhuUn3TYf51ECDMUu4C,AutoML
9,PLnH2pfPCPZsJWs7PcXjbfT0Bn3_CCRwU_,Transformers
10,PLnH2pfPCPZsJkBfdubwd6KamWGeis_NvC,BERT
11,PLnH2pfPCPZsKt0UIeSvzlrqb5a6X6sjIu,Text Parsing in NLP
12,PLnH2pfPCPZsJOs3_nV--9EiGZT4HjjiNx,Game Theory
13,PLnH2pfPCPZsKUGX0IiLw2edTBDQytmHW_,Interpretable AI
14,PLnH2pfPCPZsKSDcRNxM0CL4jd9MA-7cWr,Fuzzy matching algorithms
15,PLnH2pfPCPZsL_UerGdUa_66oRNyV5ff3F,ARIMA in Time Series
16,PLnH2pfPCPZsI4rwQYOBAEI3AU2LlD23ns,YOLO Object Detection
17,PLnH2pfPCPZsJMYgujG_yLI9RqGA0n50XQ,Streamlit
18,PLnH2pfPCPZsJXDRbR5g04MZcZQWoswep4,Dimension Reduction
19,PLnH2pfPCPZsIfw0cG9AaBudDh_MnLLog1,Generative Modeling
